Row	Column	Assay	Sample	Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean
0	0	16s	17W0P5	-1	21.34261	83.59928		0.9995722	25030.29	0.7384586	1.985892	False	False	False	9.147367E-05										12	1742.335	1.338374	24.10519	6071.422	-1.527213	4.484647	-0.0004882813	0.2654057
0	1	16s	17W0P5	-1	21.04636	83.69532		0.9999315	3405.176	0.7343351	1.915418	False	False	False	0.0002645662										8	1814.042	1.406594	23.89878	6330.345	-3.902515	4.489636	0.09555054	-0.03084564
0	2	16s	17W0P5	-1	20.84264	83.50471		0.9998948	6544.132	0.7365951	1.933602	False	False	False	0.0002674815										12	1791.515	1.388062	23.67066	6812.875	-3.250063	4.802857	-0.09506226	-0.23456
0	12	16s	17W1P26	-1	19.43584	83.83343		0.9997838	19555.71	0.7248451	1.992152	False	False	False	0.0004475421										9	2044.672	1.332755	22.19102	7621.606	-2.046485	4.727544	0.03143311	-0.1067696
0	13	16s	17W1P26	-1	19.54213	83.74249		0.9998702	12195.28	0.7271589	1.97602	False	False	False	0.0005069564										7	2131.531	1.34737	22.31656	7910.644	-2.223537	4.711249	-0.05950165	-0.0004806519
0	14	16s	17W1P26	-1	19.64986	83.83006		0.9998804	11151.51	0.7257597	1.98372	False	False	False	0.0004341979										14	2224.477	1.340338	22.41503	7953.829	-0.8203147	4.575594	0.02806091	0.1072502
0	24	16s	17W0P23	-1	21.03485	84.22693		0.9999315	2560.491	0.739056	1.890406	False	False	False	0.0003124979										6	1818.85	1.433252	23.92238	5541.737	-4.073834	4.046835	0.1433258	-0.02418137
0	25	16s	17W0P23	-1	21.21148	83.84633		0.999561	18074.07	0.7372751	1.971839	False	False	False	9.775538E-05										5	1745.263	1.351232	23.991	5023.412	0.05982075	3.878313	-0.2372742	0.1524506
0	26	16s	17W0P23	-1	20.93076	84.17755		0.999915	2321.127	0.7329871	1.910494	False	False	False	0.000222033										9	1744.801	1.411733	23.78996	4623.514	-3.092062	3.64988	0.09394836	-0.1282692
0	36	16s	17W1P32													MultipleMeltPeaks																	
0	37	16s	17W1P32	-1	17.61108	83.4675		0.9997887	18020.15	0.7016312	1.968302	False	False	False	0.002210628										8	2345.097	1.354523	20.39493	7649.713	-4.549085	4.262002	0.0692749	-0.0245285
0	38	16s	17W1P32	-1	17.66013	83.32895		0.9997299	18797.31	0.71125	1.962322	False	False	False	0.002064186										9	2179.491	1.360141	20.45138	6996.779	-6.54587	4.210281	-0.0692749	0.0245285
0	48	16s	17W2P27													MultipleMeltPeaks																	
0	49	16s	17W2P27													MultipleMeltPeaks																	
0	50	16s	17W2P27													MultipleMeltPeaks																	
0	60	16s	17W3P27	-1	16.81079	82.76846		0.9997506	27353.32	0.6905999	1.961448	False	False	False	0.004923966										7	2420.794	1.360967	19.60312	8867.744	-0.3190806	4.663155	0.00112915	-0.3188171
0	61	16s	17W3P27	-1	16.96865	82.62272		0.9998622	15082.32	0.6960782	1.968255	False	False	False	0.004202587										10	2326.113	1.354568	19.75256	9046.511	-0.9689641	4.889111	-0.1446152	-0.1609516
0	62	16s	17W3P27	-1	17.05324	82.81764		0.9998528	14188.85	0.6972973	1.941717	False	False	False	0.00484624										6	2471.829	1.380009	19.87065	8685.198	-1.589844	4.513672	0.05030823	-0.07636261
1	0	16s	17W2P36	-1	19.00407	83.20303		0.9999282	3958.494	0.7550491	1.935478	False	False	False	0.0009487671										10	1840.598	1.386189	21.82962	6552.474	-2.598329	4.559971	-0.06909943	0.1541977
1	1	16s	17W2P36	-1	18.87362	83.30956		0.9999259	4782.048	0.7601891	1.966647	False	False	False	0.000793189										10	1971.595	1.356071	21.65951	6855.458	-0.4572621	4.477113	0.03743744	0.02374649
1	2	16s	17W2P36	-1	18.67193	83.30379		0.9999483	3324.785	0.7631453	1.973934	False	False	False	0.0008262431										16	2044.124	1.349293	21.44889	6619.481	1.084947	4.238297	0.03166962	-0.1779423
1	12	16s	17W4P3	-1	19.23749	83.46449		0.9996982	20000.12	0.727289	1.991827	False	False	False	0.0004354848										12	1934.867	1.333046	21.99305	6369.594	-1.145332	4.292006	-0.1021576	-0.04021645
1	13	16s	17W4P3	-1	19.30973	83.59237		0.9997372	16823.51	0.7278772	1.983265	False	False	False	0.0004474799										11	1833.487	1.340751	22.07544	6330.345	-1.397023	4.452626	0.02572632	0.0320282
1	14	16s	17W4P3	-1	19.28589	83.64308		0.9997726	17908.59	0.7276851	1.983791	False	False	False	0.0005027992										17	2124.21	1.340273	22.05097	7025.329	-3.627187	4.307266	0.0764389	0.008188248
1	24	16s	17W4P31	-1	19.37652	83.93867		0.9997484	16319.59	0.729239	1.979358	False	False	False	0.000449966										10	1978.706	1.344309	22.14692	6426.822	-1.163457	4.247993	-0.1621094	-0.03744698
1	25	16s	17W4P31	-1	19.45671	84.19667		0.999736	17900.49	0.7277792	1.92191	False	False	False	0.0008234938										10	1924.352	1.399899	22.30032	6822.59	-6.52886	4.545397	0.09588623	0.04274559
1	26	16s	17W4P31	-1	19.40866	84.16701		0.9996617	18702.63	0.7324542	1.903071	False	False	False	0.0009454287										13	1930.024	1.419579	22.27819	6183.521	-7.366972	4.203857	0.06622314	-0.005298615
1	36	16s	17W6P3	-1	18.28582	83.03558		0.9997652	18810.72	0.7166687	2.012522	False	False	False	0.0008042533										6	2168.355	1.314929	21.01753	7031.63	-4.160261	4.24284	0.1196442	0.1351299
1	37	16s	17W6P3	-1	18.04084	82.9372		0.9997031	19991.97	0.7129316	1.925335	False	False	False	0.002354008										11	2115.537	1.396402	20.87984	7339.078	-5.024241	4.469133	0.02126312	-0.1098557
1	38	16s	17W6P3	-1	18.12542	82.77502		0.9994764	46290.65	0.7134202	1.972174	False	False	False	0.001399609										12	2221.113	1.350921	20.90453	7351.912	-5.30572	4.310012	-0.1409149	-0.02527237
1	48	16s	17W5P5	-1	17.35504	82.94429		0.9994045	38285.96	0.6993337	1.967053	False	False	False	0.002274644										8	2059.952	1.355692	20.14043	6439.921	-4.186969	4.126248	-0.08452606	-0.1616917
1	49	16s	17W5P5	-1	17.50212	83.04224		0.9995552	24452.87	0.7153012	1.94749	False	False	False	0.002319683										11	2019.906	1.374361	20.3121	6081.357	-2.261908	4.010713	0.01342773	-0.01460838
1	50	16s	17W5P5	-1	17.69303	83.09991		0.9997025	17264.51	0.711988	1.952179	False	False	False	0.002017153										7	2114.061	1.36982	20.49703	6356.513	0.7493799	4.006778	0.0710907	0.1763
1	60	16s	17W6P14	-1	17.70651	83.4437		0.9997116	30178.68	0.7092805	1.977394	False	False	False	0.002109308										10	2342.012	1.346107	20.47928	8538.248	-3.824927	4.645689	0.2257919	-0.04582024
1	61	16s	17W6P14	-1	17.70558	83.06651		0.9997339	29557.93	0.7125354	1.990746	False	False	False	0.001899538										14	2257.074	1.334012	20.46242	8715.535	-0.2658293	4.861431	-0.1514053	-0.04675102
1	62	16s	17W6P14	-1	17.8449	83.14353		0.9997637	25476.14	0.7209148	1.970016	False	False	False	0.002115114										8	2355.872	1.352925	20.62665	8842.409	-3.068571	4.753349	-0.07437897	0.09257126
2	0	16s	17W7P5	-1	19.91617	83.57021		0.9998575	9774.884	0.722073	1.964426	False	False	False	0.0003951392										16	2098.512	1.358157	22.70481	7194.681	-6.914705	4.428468	-0.2348404	0.03013611
2	1	16s	17W7P5	-1	19.91518	83.87252		0.9998937	8055.056	0.7309163	1.953795	False	False	False	0.0004629624										14	2004.874	1.368265	22.71712	7517.626	-1.719649	4.749674	0.06747437	0.02914429
2	2	16s	17W7P5	-1	19.82675	83.97242		0.9998797	8705.285	0.7187784	1.967538	False	False	False	0.000413205										17	2275.762	1.355237	22.61154	7280.794	-6.435607	4.199277	0.1673737	-0.0592804
2	12	16s	17W8P6	-1	17.108	83.39464		0.9998831	9784.001	0.7121394	1.943366	False	False	False	0.00432206										14	2208.524	1.378389	19.92328	8184.613	-3.751412	4.70592	0.08753967	0.01526451
2	13	16s	17W8P6	-1	17.04449	83.27182		0.9998807	10563.01	0.7082738	1.948705	False	False	False	0.004378334										9	2162.707	1.37318	19.85291	8320.973	-3.713166	4.84748	-0.03527832	-0.04824638
2	14	16s	17W8P6	-1	17.12572	83.25483		0.9998761	11344.78	0.7068009	1.948072	False	False	False	0.004275637										17	2290.22	1.373795	19.93495	8570.17	-3.74869	4.742073	-0.05226898	0.03298378
2	24	16s	17W7P21	-1	19.76069	83.53522		0.9998753	8679.7	0.7334116	1.935712	False	False	False	0.0005969587										10	1951.011	1.385955	22.58593	7134.03	-4.606495	4.656582	-0.150795	0.05261993
2	25	16s	17W7P21	-1	19.61664	83.74516		0.9998325	12835.12	0.7309533	1.968247	False	False	False	0.0004745005										9	1902.176	1.354575	22.40056	7213.578	-0.7006638	4.792277	0.0591507	-0.09142685
2	26	16s	17W7P21	-1	19.74688	83.77765		0.9998204	10293.76	0.7325958	1.9599	False	False	False	0.0004164678										12	1878.337	1.362435	22.54115	6380.823	-1.972837	4.397059	0.09163666	0.03880692
2	36	16s	17W8P23													CtIsOutlier																	
2	37	16s	17W8P23	-1	18.73359	83.53786		0.9998192	16205.11	0.7135344	1.951071	False	False	False	0.001200197	ContainsOutlierReplicateCt									12	2079.814	1.370889	21.53899	7993.826	-2.939008	4.843529	-0.03499603	-0.08857155
2	38	16s	17W8P23	-1	18.91073	83.60786		0.999817	13304.76	0.7193916	1.902513	False	False	False	0.001656588	ContainsOutlierReplicateCt									14	2175.458	1.420174	21.78104	7584.635	-8.215534	4.486455	0.03500366	0.08857155
2	48	16s	17W9P14	-1	18.48223	83.12011		0.9997628	14893.2	0.7083796	1.980672	False	False	False	0.0008598668	ContainsOutlierReplicateCt									9	1965.773	1.343109	21.25104	6396.726	-0.7027255	4.254051	-0.06742096	-0.04154396
2	49	16s	17W9P14	-1	18.56532	83.25495		0.9997569	19169.64	0.7097661	1.988355	False	False	False	0.0008494589	ContainsOutlierReplicateCt									14	2291.843	1.336155	21.32497	7252.101	-3.098193	4.16431	0.06742096	0.04154587
2	50	16s	17W9P14													CtIsOutlier																	
2	60	16s	17W12P6	-1	18.13374	83.33569		0.9998137	15722.54	0.7149548	1.950163	False	False	False	0.001933128										11	2233.714	1.371767	20.9403	8238.611	-4.267874	4.688303	-0.0027771	-0.06192398
2	61	16s	17W12P6	-1	18.19369	83.17069		0.9998767	9817.209	0.7110319	1.96829	False	False	False	0.001504688										15	2150.789	1.354534	20.97755	8004.354	-2.518021	4.721591	-0.167778	-0.001976013
2	62	16s	17W12P6	-1	18.25956	83.50903		0.9996011	41804.16	0.7148619	2.018959	False	False	False	0.0008740394										11	2295.011	1.309436	20.98403	7965.389	-1.249556	4.47074	0.1705627	0.06389809
3	0	16s	17W9P31	-1	19.99962	84.51926		0.9999229	5017.915	0.7247921	1.940867	False	False	False	0.0004737641										12	2084.229	1.380847	22.81814	7114.892	-3.813825	4.413681	0.2625427	0.2374649
3	1	16s	17W9P31	-1	19.60051	84.18197		0.9998527	11031.36	0.7229242	1.972848	False	False	False	0.0004523807										6	2067.848	1.350297	22.37879	7131.334	-2.981594	4.448674	-0.07474518	-0.1616497
3	2	16s	17W9P31	-1	19.68634	84.06892		0.9998733	9601.281	0.7264987	1.966438	False	False	False	0.0004627414										12	2122.071	1.356267	22.47249	7266.49	-2.490238	4.424245	-0.1877899	-0.07581711
3	12	16s	17W12P24	-1	20.12591	84.08878		0.9996368	35272.13	0.7428237	1.972604	False	False	False	0.0003294588										8	2129.022	1.350522	22.90449	7643.915	-0.07861379	4.590342	0.06628418	-0.04077339
3	13	16s	17W12P24	-1	19.97419	83.9347		0.9998763	9065.838	0.7371278	1.919343	False	False	False	0.0006511291										5	1943.215	1.402536	22.82127	7590.366	-4.681301	4.906087	-0.08779907	-0.1924877
3	14	16s	17W12P24	-1	20.39994	84.04401		0.9997962	19019.93	0.7410879	1.949785	False	False	False	0.0003522471										14	2242.238	1.372133	23.20698	7800.116	-1.214537	4.478719	0.02150726	0.2332592
3	24	16s	17W13P25	-1	16.04999	83.36807		0.9999358	6154.667	0.6925979	1.962686	False	False	False	0.008267272										7	2368.101	1.359797	18.84078	8605.34	-2.582411	4.633857	0.007461548	-0.1313515
3	25	16s	17W13P25	-1	16.24569	83.38363		0.9996402	50786.96	0.6941577	2.012612	False	False	False	0.004964863										7	2543.555	1.314852	18.97729	9206.377	2.203673	4.619493	0.02301788	0.06435013
3	26	16s	17W13P25	-1	16.24834	83.33012		0.9995685	44601.36	0.6959464	2.011059	False	False	False	0.004302009										10	2363.478	1.316187	18.9817	7887.712	1.452708	4.337333	-0.03048706	0.06700134
3	36	16s	17W16P23	-1	16.66396	83.51688		0.999853	18898.95	0.7293326	1.966946	False	False	False	0.005545203										4	2415.028	1.355791	19.44948	9420.636	-2.168381	4.900839	0.01131439	0.002475739
3	37	16s	17W16P23	-1	16.62165	83.50523		0.9998073	26767.74	0.7255719	1.96876	False	False	False	0.005801591										7	2408.978	1.354096	19.40494	9710.141	-0.3804994	5.030813	-0.0003356934	-0.03983307
3	38	16s	17W16P23	-1	16.69884	83.49458		0.999797	26163.14	0.7258529	1.965697	False	False	False	0.005491436										9	2515.675	1.356962	19.4859	9465.228	-1.090863	4.762501	-0.0109787	0.03735924
3	48	16s	17W14P6	-1	17.70679	83.16084		0.9996019	32924.81	0.6581345	1.986424	False	False	False	0.001762822										5	2953.543	1.337893	20.46874	7772.851	-20.71799	3.631704	-0.1016541	-0.2405739
3	49	16s	17W14P6	-1	18.035	83.18029		0.9998084	12684.69	0.7100786	1.958181	False	False	False	0.001662968										9	1969.906	1.364069	20.83142	7132.24	-0.9114884	4.620599	-0.0821991	0.08764076
3	50	16s	17W14P6	-1	18.10029	83.44634		0.9997355	15578.79	0.7108317	1.960578	False	False	False	0.001468174										6	2021.003	1.361791	20.89371	6762.093	1.032863	4.34591	0.1838531	0.1529331
3	60	16s	17W16P28	-1	17.27203	83.04417		0.9995273	66664.46	0.7007524	2.014651	False	False	False	0.002240171										6	2527.875	1.313105	20.00133	9236.172	1.065712	4.65373	-0.006332397	-0.1085644
3	61	16s	17W16P28	-1	17.34841	82.97257		0.999472	73740.5	0.706031	2.01699	False	False	False	0.00207235										11	2405.327	1.311109	20.07508	9250.672	2.247288	4.845911	-0.07792664	-0.03218651
3	62	16s	17W16P28	-1	17.52135	83.13475		0.9996635	44789.12	0.7094852	1.996844	False	False	False	0.00220191										7	2472.652	1.328589	20.27104	9312.736	-1.194945	4.766294	0.0842514	0.1407528
4	0	16s	Manure A12													MultipleMeltPeaks																	
4	1	16s	Manure A12	-1	23.8313	84.92831		0.9998296	6257.25	0.7224286	1.920302	False	False	False	2.854716E-05										7	1734.735	1.401549	26.67708	5271.399	-4.092788	4.038735	-0.05565643	0.08257103
4	2	16s	Manure A12	-1	23.66616	85.03963		0.9997445	10470.59	0.7343703	1.94303	False	False	False	2.443322E-05										13	1697.16	1.378719	26.48187	5367.035	-1.618287	4.162362	0.05565643	-0.08257103
4	12	16s	Manure S18 P36-2													MultipleMeltPeaks																	
4	13	16s	Manure S18 P36-2													MultipleMeltPeaks																	
4	14	16s	Manure S18 P36-2													MultipleMeltPeaks																	
4	24	16s	Manure E12													MultipleMeltPeaks																	
4	25	16s	Manure E12													MultipleMeltPeaks																	
4	26	16s	Manure E12	-1	22.10356	85.04159		0.9991477	35360.21	0.7695915	1.982581	False	False	False	5.001672E-05										13	1919.084	1.341372	24.87009	5639.952	0.2639181	3.938876		
4	48	16s	ermB 10*8	-1	27.59332	86.71297		0.9999428	2761.292	0.6664416	1.958683	False	False	False	1.176154E-06										11	2059.319	1.363591	30.38911	5612.914	8.901225	3.725617		
4	49	16s	ermB 10*8													NoAmplification																	
4	50	16s	ermB 10*8													CurveFitFailed																	
4	60	16s	tetM 10*8													CtIsLarge, CurveFitFailed																	
4	61	16s	tetM 10*8													NoAmplification																	
4	62	16s	tetM 10*8	-1	33.59911	81.73615		0.9999525	1291.558	0.393053	1.921135	False	False	False	2.620283E-08	CtIsLarge									9	1871.381	1.400693	36.44376	5223.816	-3.24227	3.791423		
